nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;425000;JAMBI
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;460000;"SUMATERA SELATAN"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;363000;BENGKULU
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;377500;LAMPUNG
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;447900;"KEP. BANGKA BELITUNG"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;-;"KEP. RIAU"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;671600;"DKI JAKARTA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;366500;"JAWA BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;365000;"JAWA TENGAH"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;365000;"DI YOGYAKARTA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;310000;"JAWA TIMUR"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;515000;BANTEN
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;425000;BALI
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;412500;"NUSA TENGGARA BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;400000;"NUSA TENGGARA TIMUR"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;420000;"KALIMANTAN BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;482300;"KALIMANTAN TENGAH"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;482200;"KALIMANTAN SELATAN"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;572700;"KALIMANTAN TIMUR"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;-;"KALIMANTAN UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;545000;"SULAWESI UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;450000;"SULAWESI TENGAH"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;455000;"SULAWESI SELATAN"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;470000;"SULAWESI TENGGARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;430000;GORONTALO
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;-;"SULAWESI BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;450000;MALUKU
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;400000;"MALUKU UTARA"
